,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
289,HDFCBANK,Long Closed,1998-03-23,7.49,1998-05-25,7.14,6671.0,49999.144,-2334.85,-4.67,Exit Trigger,63 days
290,HDFCBANK,Long Closed,1998-08-04,6.2,1998-08-18,6.09,8064.0,49996.798,-887.04,-1.774,Exit Trigger,14 days
291,HDFCBANK,Long Closed,1998-09-23,6.99,1998-10-21,5.14,7147.0,49993.264,-13221.95,-26.447,Exit Trigger,28 days
292,HDFCBANK,Long Closed,1999-01-04,5.51,1999-02-15,5.24,9074.0,49997.742,-2449.98,-4.9,Exit Trigger,42 days
293,HDFCBANK,Long Closed,1999-03-24,6.0,1999-11-15,9.3,8333.0,49998.0,27498.9,55.0,Exit Trigger,236 days
294,HDFCBANK,Long Closed,1999-12-03,14.0,2000-04-17,22.5,3571.0,49994.0,30353.5,60.714,Exit Trigger,136 days
295,HDFCBANK,Long Closed,2000-05-17,26.0,2000-06-16,24.3,1923.0,49998.0,-3269.1,-6.538,Exit Trigger,30 days
296,HDFCBANK,Long Closed,2000-06-27,25.5,2000-08-07,24.81,1960.0,49980.0,-1352.4,-2.706,Exit Trigger,41 days
297,HDFCBANK,Long Closed,2000-10-23,24.5,2000-11-30,22.39,2040.0,49980.0,-4304.4,-8.612,Exit Trigger,38 days
298,HDFCBANK,Long Closed,2001-01-17,24.9,2001-03-20,23.41,2008.0,49999.199,-2991.92,-5.984,Exit Trigger,62 days
299,HDFCBANK,Long Closed,2001-05-11,23.8,2001-06-12,23.1,2100.0,49979.998,-1470.0,-2.941,Exit Trigger,32 days
300,HDFCBANK,Long Closed,2001-08-03,23.49,2001-09-19,20.63,2128.0,49986.72,-6086.08,-12.175,Exit Trigger,47 days
301,HDFCBANK,Long Closed,2001-11-02,22.0,2002-01-11,22.59,2272.0,49984.0,1340.48,2.682,Exit Trigger,70 days
302,HDFCBANK,Long Closed,2002-01-16,24.8,2002-04-11,22.62,2016.0,49996.798,-4394.88,-8.79,Exit Trigger,85 days
303,HDFCBANK,Long Closed,2002-06-21,21.85,2002-06-26,21.5,2287.0,49982.384,-800.45,-1.601,Exit Trigger,5 days
304,HDFCBANK,Long Closed,2002-09-16,21.28,2002-10-18,20.27,2349.0,49986.722,-2372.49,-4.746,Exit Trigger,32 days
305,HDFCBANK,Long Closed,2002-12-18,21.6,2003-03-28,22.89,2314.0,49982.401,2985.06,5.972,Exit Trigger,100 days
306,HDFCBANK,Long Closed,2003-05-01,24.7,2003-10-02,28.33,2024.0,49992.802,7347.12,14.696,Exit Trigger,154 days
307,HDFCBANK,Long Closed,2003-10-07,32.0,2004-02-18,37.62,1562.0,49984.0,8778.44,17.562,Exit Trigger,134 days
308,HDFCBANK,Long Closed,2004-03-01,37.69,2004-04-02,38.7,1326.0,49976.938,1339.26,2.68,Exit Trigger,32 days
309,HDFCBANK,Long Closed,2004-04-16,38.39,2004-05-18,28.0,1302.0,49983.779,-13527.78,-27.064,Exit Trigger,32 days
310,HDFCBANK,Long Closed,2004-07-01,37.0,2004-08-23,36.1,1351.0,49987.0,-1215.9,-2.432,Exit Trigger,53 days
311,HDFCBANK,Long Closed,2004-09-07,37.98,2005-04-07,56.0,1316.0,49981.679,23714.32,47.446,Exit Trigger,212 days
312,HDFCBANK,Long Closed,2005-06-09,58.8,2005-09-06,64.1,850.0,49979.999,4505.0,9.014,Exit Trigger,89 days
313,HDFCBANK,Long Closed,2005-09-21,73.03,2005-10-28,62.2,684.0,49952.519,-7407.72,-14.83,Exit Trigger,37 days
314,HDFCBANK,Long Closed,2005-12-05,70.0,2006-06-05,76.3,714.0,49980.0,4498.2,9.0,Exit Trigger,182 days
315,HDFCBANK,Long Closed,2006-07-21,71.5,2007-01-05,105.47,699.0,49978.5,23745.03,47.51,Exit Trigger,168 days
316,HDFCBANK,Long Closed,2007-02-08,110.99,2007-03-01,96.0,450.0,49945.499,-6745.5,-13.506,Exit Trigger,21 days
317,HDFCBANK,Long Closed,2007-04-27,98.53,2007-08-24,109.87,507.0,49952.176,5749.38,11.51,Exit Trigger,119 days
318,HDFCBANK,Long Closed,2007-09-19,127.1,2008-01-25,154.4,393.0,49950.299,10728.9,21.479,Exit Trigger,128 days
319,HDFCBANK,Long Closed,2008-05-05,154.0,2008-06-05,122.0,324.0,49896.0,-10368.0,-20.779,Exit Trigger,31 days
320,HDFCBANK,Long Closed,2008-08-12,131.2,2008-10-14,122.5,381.0,49987.199,-3314.7,-6.631,Exit Trigger,63 days
321,HDFCBANK,Long Closed,2009-01-06,104.42,2009-02-05,89.5,478.0,49910.37,-7131.76,-14.289,Exit Trigger,30 days
322,HDFCBANK,Long Closed,2009-04-08,106.5,2009-07-27,145.7,469.0,49948.5,18384.8,36.808,Exit Trigger,110 days
